Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
6,93.125,0,0.0,29,424.125,0.0,0.020689655,0.0,0.0,Dec,1,8,1,1,Returning_Visitor,False,0
7,135.2,5,430.3333333,68,3974.534501,0.013513514,0.019008442,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,True,0
9,252.667619,1,0.0,67,1060.693791,0.022685185,0.029967788,0.131837013,0.0,Oct,3,2,1,13,Returning_Visitor,False,1
0,0.0,0,0.0,13,334.75,0.0,0.030769231,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,0
1,0.0,0,0.0,7,82.2,0.057142857,0.114285714,0.0,0.0,June,3,2,2,4,Returning_Visitor,False,0
3,258.0,2,34.625,25,1364.8125,0.029761905,0.035714286,3.18693501,0.0,Dec,1,1,3,10,Returning_Visitor,True,0
2,17.0,0,0.0,6,35.2,0.025,0.075,0.0,0.0,Aug,2,2,7,1,Returning_Visitor,False,0
3,58.5,0,0.0,17,281.6666667,0.007058824,0.017647059,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,False,0
0,0.0,0,0.0,20,379.4166667,0.002857143,0.0295,0.0,1.0,May,3,2,1,2,Returning_Visitor,True,0
14,751.5222777541134,25,473.3845679602622,194,8563.476754484453,-0.17113760494234503,-0.13566617025619473,-59.358639685037275,-0.6012221599466097,Dec,9,14,10,21,Returning_Visitor,False,0
2,48.0,0,0.0,51,1671.375,0.001098901,0.016433566,0.0,0.0,Mar,2,2,1,6,Returning_Visitor,True,0
1,73.75,0,0.0,45,2674.339216,0.000869565,0.020139353,0.0,0.0,Nov,1,1,8,1,Returning_Visitor,False,0
2,53.85,0,0.0,2,161.2,0.0,0.0,0.0,0.0,Aug,2,4,3,1,Returning_Visitor,False,0
13,689.3325598290842,25,535.2048506651093,-118,8712.184625703934,0.20965884335310736,-0.12532031039522273,-54.64033909744846,0.6748538556649866,Nov,9,14,10,21,Returning_Visitor,False,0
7,131.8333333,0,0.0,63,2074.611111,0.010793651,0.02000962,0.0,0.0,Dec,3,2,3,10,Returning_Visitor,False,0
0,0.0,0,0.0,8,166.1666667,0.0,0.025,0.0,0.0,May,2,2,3,4,Returning_Visitor,False,0
2,109.8,0,0.0,55,1988.931429,0.007272727,0.005330144,5.79089525,0.0,Jul,1,1,1,2,Returning_Visitor,False,0
0,0.0,0,0.0,8,721.4166667,0.0,0.00952381,0.0,0.0,Nov,2,5,3,8,New_Visitor,True,0
0,0.0,0,0.0,10,99.0,0.04,0.046666667,0.0,0.6,May,3,2,1,3,Returning_Visitor,False,0
15,-628.2568414408153,25,487.7145595046569,170,-4955.021158572948,-0.15080977668290704,-0.1266768034543362,73.6134824489021,0.7317523850481835,May,9,14,10,21,Returning_Visitor,False,0
0,0.0,0,0.0,18,588.5,0.051851852,0.08962963,0.0,0.0,Dec,3,2,4,1,Returning_Visitor,False,0
10,197.1666667,0,0.0,35,1078.727778,0.0,0.010452962,39.75577236,0.0,May,2,2,3,3,Returning_Visitor,False,0
12,-457.74134618045855,25,-430.2258030158149,-115,7155.111600099996,0.20861950874779103,0.2246704917032296,-50.232242116198805,0.8321918985635128,June,9,14,10,21,Returning_Visitor,False,0
9,381.8666667,1,33.0,38,1190.616667,0.004444444,0.011333333,2.967493333,0.0,May,2,2,1,2,New_Visitor,False,0
0,0.0,0,0.0,6,78.75,0.033333333,0.066666667,0.0,0.0,Nov,2,2,9,3,Returning_Visitor,False,0
0,0.0,0,0.0,7,242.75,0.014285714,0.047619048,0.0,0.0,Nov,3,2,3,11,Returning_Visitor,True,0
0,0.0,0,0.0,2,11.0,0.0,0.1,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,False,0
4,56.0,0,0.0,10,709.0,0.0,0.016666667,0.0,0.0,Mar,2,2,1,2,New_Visitor,False,0
2,57.0,0,0.0,12,497.0,0.0,0.047619048,10.62514286,0.6,May,2,2,1,6,Returning_Visitor,False,0
15,-471.9645259803931,25,471.31658133403903,174,8195.610525991935,0.1742565575203316,-0.15153868926626568,78.78295433453351,0.8038866963888612,Aug,9,14,10,21,Returning_Visitor,False,0
2,10.3,0,0.0,142,4204.433333,0.009722222,0.021345899,0.770991864,0.0,Jul,2,2,4,13,Returning_Visitor,False,0
-9,-516.7713886109506,25,-430.01893355962557,-129,7186.580010836512,-0.16037493147984666,0.19695315358436324,71.8174215880784,-0.719990975810427,Dec,9,14,10,21,Returning_Visitor,False,0
0,0.0,0,0.0,9,640.6666667,0.0,0.011111111,0.0,0.0,Mar,3,2,7,1,Returning_Visitor,True,0
0,0.0,0,0.0,4,107.0,0.0,0.05,0.0,0.6,May,3,2,3,13,Returning_Visitor,False,0
-10,651.3283028437954,25,-392.28457752500225,166,-6234.712940837375,-0.15242802215274343,-0.1260942555938247,-53.17969919825091,-0.6453923077808719,Nov,9,14,10,21,Returning_Visitor,False,0
-9,726.636210134948,25,-443.95481216779626,-121,8083.962089835079,0.21060891666604992,0.21965588218214385,79.80375880940238,-0.6241113089117893,Aug,9,14,10,21,New_Visitor,True,0
4,61.0,0,0.0,14,175.6666667,0.0,0.010588235,0.0,0.0,Mar,2,2,5,2,Returning_Visitor,False,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,9,Returning_Visitor,True,0
5,241.35,0,0.0,5,244.7,0.011111111,0.033333333,0.0,0.0,Nov,2,2,4,1,Returning_Visitor,True,0
0,0.0,0,0.0,10,455.0,0.0,0.022222222,25.7526389,0.0,Dec,1,1,2,2,New_Visitor,False,1
2,48.83333333,6,370.875,22,526.0281385,0.032142857,0.032738095,22.93531071,0.6,May,1,1,1,2,Returning_Visitor,False,0
1,41.5,0,0.0,12,237.5,0.015384615,0.046153846,0.0,0.0,Dec,1,8,2,1,Returning_Visitor,False,0
14,670.7247251710944,25,-515.8763466699659,-100,-5261.304992461135,0.19725161591836382,0.22364805027306484,-57.96648089374852,0.7339238211435702,May,9,14,10,21,New_Visitor,False,0
7,64.75,1,17.0,100,2463.244841,0.001886792,0.014944594,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,0
10,85.04,0,0.0,114,2139.156647,0.0,0.009414895,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,0
0,0.0,0,0.0,12,1145.416667,0.009090909,0.048484848,0.0,0.0,Nov,3,2,8,10,Returning_Visitor,True,0
1,90.0,0,0.0,37,592.8375,0.009817814,0.051919272,0.0,0.0,Nov,2,2,1,11,Returning_Visitor,False,0
0,0.0,0,0.0,90,601.7901961,0.002222222,0.012763533,0.0,0.8,May,2,2,3,1,Returning_Visitor,False,0
2,675.3333333,0,0.0,46,1103.916667,0.0,0.004081633,0.0,0.8,May,2,4,4,4,Returning_Visitor,False,0
13,644.3800747859923,25,519.0236677236202,-116,7890.190157223717,-0.13943341245480412,-0.1487273611440371,-66.20061148776917,-0.568448418427604,Mar,9,14,10,21,Returning_Visitor,False,0
3,118.0,0,0.0,2,96.25,0.0,0.025,0.0,0.0,Dec,8,13,9,20,Other,False,0
3,78.6,0,0.0,2,18.2,0.0,0.02,0.0,0.0,Jul,3,2,3,2,New_Visitor,True,1
8,147.0,0,0.0,23,627.0,0.006896552,0.011264368,25.19297315,0.0,Dec,1,1,8,2,Returning_Visitor,False,0
0,0.0,0,0.0,17,840.2333333,0.0,0.001666667,109.176,0.0,Mar,2,2,9,2,New_Visitor,False,1
3,60.83333333,0,0.0,18,884.6333333,0.021052632,0.041140351,0.0,0.0,Mar,2,2,3,10,Returning_Visitor,False,0
15,692.8480836489018,25,541.3207535389048,-123,-6070.719178089776,-0.12700549777771708,0.23144995392622514,71.88317569272135,0.775825285588978,Nov,9,14,10,21,Returning_Visitor,True,0
1,19.0,0,0.0,29,605.6722222,0.003448276,0.025517241,0.0,0.8,May,3,2,3,6,Returning_Visitor,False,0
-9,-485.20155295395926,25,525.7139493139156,204,-6271.4508617094925,-0.1713988434981815,-0.10928440260812917,75.65755622615863,-0.713632064555201,May,9,14,10,21,Returning_Visitor,False,0
2,150.6,0,0.0,86,2554.562381,0.023255814,0.041100372,0.0,0.0,Sep,2,2,1,1,Returning_Visitor,False,0
12,-572.0222338133462,25,-467.55393265702605,188,8470.117569126112,-0.1468216258489402,0.20328140753012766,-52.868486773771934,-0.7156739776739565,Mar,9,14,10,21,New_Visitor,False,0
0,0.0,0,0.0,16,385.5,0.0,0.0125,0.0,0.0,Dec,2,2,4,1,Returning_Visitor,False,0
0,0.0,0,0.0,39,1779.886905,0.01025641,0.028972694,0.0,0.0,Dec,1,1,4,2,Returning_Visitor,True,0
0,0.0,0,0.0,13,365.75,0.0,0.030769231,0.0,1.0,May,3,2,3,4,Returning_Visitor,True,0
0,0.0,0,0.0,17,935.25,0.0,0.009803922,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,0
0,0.0,0,0.0,93,4261.842857,0.002930403,0.021080839,0.0,0.0,Mar,3,3,8,1,Returning_Visitor,False,0
8,115.2,1,11.0,18,436.6,0.008695652,0.008695652,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,2,2,7,10,Returning_Visitor,False,0
0,0.0,0,0.0,5,218.0,0.0,0.04,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,0
15,626.326045579107,25,546.2074629198735,-118,8073.032071863751,0.21064728185397646,-0.11885328797507705,-58.30722038152548,-0.5759676401669154,Dec,9,14,10,21,New_Visitor,False,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,3,2,2,10,Other,False,0
1,2.0,0,0.0,5,86.6,0.0,0.1,0.0,0.0,Sep,3,2,3,2,Returning_Visitor,False,0
2,28.0,0,0.0,9,163.375,0.0,0.018181818,0.0,0.0,Dec,1,2,3,2,New_Visitor,False,0
2,992.7142857,5,809.5,28,1793.214286,0.005714286,0.016428571,9.69917706,0.0,Nov,2,2,1,10,Returning_Visitor,False,1
2,74.0,0,0.0,13,429.0,0.013333333,0.040444444,0.0,0.0,Mar,2,4,3,6,Returning_Visitor,False,0
0,0.0,0,0.0,1,381.8,0.1,0.133333333,0.0,0.0,June,3,2,1,4,Returning_Visitor,False,0
0,0.0,0,0.0,3,36.6,0.0,0.033333333,0.0,0.0,Aug,2,2,6,2,Returning_Visitor,False,0
1,76.0,0,0.0,37,821.3333333,0.0,0.014285714,0.0,0.0,May,2,2,4,4,Returning_Visitor,False,0
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.2,May,2,2,3,1,Returning_Visitor,False,0
0,0.0,0,0.0,37,785.3833333,0.05,0.079573935,0.0,0.6,May,2,2,3,11,Returning_Visitor,False,0
7,170.8333333,1,39.0,4,45.33333333,0.0,0.011111111,0.0,0.0,May,3,2,1,2,Returning_Visitor,False,0
0,0.0,0,0.0,84,1460.256115,0.004703833,0.013205032,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,True,0
6,145.0,0,0.0,13,644.0,0.0,0.013333333,0.0,0.0,Mar,2,2,1,2,New_Visitor,False,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.8,May,2,2,1,1,Returning_Visitor,False,0
4,131.1,0,0.0,13,777.05,0.0,0.003921569,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,False,0
0,0.0,0,0.0,24,488.3333333,0.0,0.004347826,72.30208696,0.0,May,2,2,1,4,New_Visitor,False,1
4,71.3,0,0.0,66,4415.333333,0.009950249,0.02453119,0.0,0.4,May,2,2,6,11,Returning_Visitor,False,0
1,29.0,1,13.5,24,1005.849206,0.0,0.007986111,0.0,0.0,Mar,1,1,3,3,Returning_Visitor,False,0
0,0.0,0,0.0,5,74.0,0.0,0.04,0.0,0.0,Mar,2,2,1,10,Returning_Visitor,False,0
0,0.0,0,0.0,11,276.0,0.0,0.011111111,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,0
0,0.0,0,0.0,10,148.5,0.09,0.096666667,0.0,0.4,May,1,1,1,2,Returning_Visitor,False,0
0,0.0,0,0.0,9,268.5,0.055555556,0.1,0.0,0.8,May,2,2,1,6,Returning_Visitor,False,0
0,0.0,0,0.0,16,318.0666667,0.025,0.033333333,0.0,0.0,Jul,3,2,3,1,Returning_Visitor,False,0
0,0.0,0,0.0,2,5.0,0.0,0.1,0.0,0.0,Mar,2,2,1,13,Returning_Visitor,True,0
0,0.0,0,0.0,42,2058.25,0.021138211,0.051219512,0.0,0.2,May,2,10,7,1,Returning_Visitor,False,0
12,975.6466667,4,276.08,53,2822.623603,0.006666667,0.017015392,0.0,0.0,Sep,3,2,8,2,Returning_Visitor,True,0
3,48.4,0,0.0,137,3004.628109,0.002380952,0.011750149,0.0,0.0,Oct,2,4,9,2,Returning_Visitor,False,0
0,0.0,0,0.0,22,337.1,0.0,0.027272727,0.0,0.0,Aug,2,4,1,3,Returning_Visitor,False,0
2,16.0,0,0.0,42,1743.517857,0.0,0.012804878,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,0
0,0.0,2,63.5,14,376.0,0.0375,0.040625,0.0,0.0,Nov,2,2,2,11,Returning_Visitor,True,1
8,52.85,2,33.5,71,1714.778571,0.018333333,0.035661897,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,0
0,0.0,0,0.0,16,680.75,0.0,0.014285714,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,0
0,0.0,0,0.0,3,40.4,0.0,0.066666667,0.0,0.0,June,2,2,1,4,Returning_Visitor,True,0
-10,-499.5181488390692,25,-474.7125039968432,192,7033.47514501145,-0.15482205982995875,-0.11836097239666399,-63.57577741753058,0.7517300283945064,May,9,14,10,21,Returning_Visitor,False,0
0,0.0,0,0.0,8,70.2,0.025,0.061111111,0.0,0.0,Mar,1,2,8,1,Returning_Visitor,False,0
5,66.6,0,0.0,13,523.6,0.0,0.013333333,0.0,0.0,Oct,2,2,6,3,Returning_Visitor,False,0
2,109.0,5,125.0,1,34.0,0.0,0.00952381,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,0
2,353.0,0,0.0,24,2874.083333,0.025,0.025357143,0.0,0.0,May,2,2,3,6,Returning_Visitor,False,0
0,0.0,0,0.0,5,42.0,0.04,0.08,0.0,0.0,May,2,2,2,13,Returning_Visitor,False,0
15,-560.0208440438023,25,-466.233391668491,162,-6027.759825912424,-0.13477517546577747,0.2043570738038733,63.19293704156517,-0.6672024352703405,Sep,9,14,10,21,Returning_Visitor,False,0
2,77.0,0,0.0,32,1223.416667,0.0,0.010784314,215.0094118,0.0,May,3,2,4,2,Returning_Visitor,False,1
0,0.0,0,0.0,15,438.6666667,0.023076923,0.039487179,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,0
2,13.0,0,0.0,17,209.7,0.023529412,0.038235294,0.0,0.0,June,1,1,3,4,Returning_Visitor,False,0
0,0.0,0,0.0,4,33.0,0.1,0.15,0.0,0.6,May,2,2,1,3,Returning_Visitor,False,0
1,0.0,0,0.0,35,499.4,0.011764706,0.028151261,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,True,0
0,0.0,0,0.0,17,1356.0,0.0,0.035294118,0.0,0.6,May,4,1,3,3,Returning_Visitor,False,0
12,-528.5897582855973,25,-455.5830597334634,-131,8551.219375612509,-0.12777616743340953,-0.11615624581324077,66.84519938644723,0.8613838468956398,Mar,9,14,10,21,Returning_Visitor,False,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,June,3,2,3,13,Returning_Visitor,False,0
0,0.0,0,0.0,14,276.35,0.0,0.007142857,0.0,0.0,June,1,1,1,2,Returning_Visitor,False,0
4,312.75,0,0.0,14,702.9166667,0.0,0.014259259,0.0,0.0,Mar,3,2,1,2,New_Visitor,False,0
12,-616.2337211565441,25,-481.18980424870165,-99,-5070.310443195202,-0.1250407529152142,0.23141818991757243,79.44859820136682,-0.7099671604086016,May,9,14,10,21,Returning_Visitor,True,1
0,0.0,0,0.0,5,72.5,0.0,0.04,0.0,0.0,May,2,6,6,3,Returning_Visitor,False,0
4,60.0,2,83.5,125,3727.32381,0.0,0.001158605,0.0,0.0,May,2,2,7,2,Returning_Visitor,False,0
0,0.0,0,0.0,5,59.25,0.04,0.1,0.0,0.0,Nov,2,6,2,2,Returning_Visitor,False,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Aug,2,5,7,1,Returning_Visitor,False,0
0,0.0,0,0.0,7,317.0,0.025,0.041666667,0.0,0.2,May,2,2,2,6,Returning_Visitor,False,0
5,44.74,3,129.75,18,390.4566667,0.0,0.019230769,0.0,0.0,Aug,2,2,1,4,Returning_Visitor,False,0
8,131.3333333,1,4.0,95,2107.583333,0.0,0.004166667,0.0,0.0,May,2,2,4,4,Returning_Visitor,True,0
6,91.75,0,0.0,11,380.6666667,0.0,0.005128205,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,True,0
13,670.3834890023594,25,-451.3421980576246,-102,7906.9950406226535,0.1732121798433967,-0.1061224513408484,-61.84267594703357,0.757677894718772,Aug,9,14,10,21,Returning_Visitor,False,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,3,2,3,9,Returning_Visitor,True,0
0,0.0,0,0.0,7,110.0,0.057142857,0.142857143,0.0,0.0,Mar,3,2,8,1,Returning_Visitor,False,0
0,0.0,0,0.0,5,210.0,0.12,0.16,0.0,0.0,Mar,1,10,1,1,Returning_Visitor,False,0
0,0.0,0,0.0,4,151.5,0.0,0.05,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,0
0,0.0,0,0.0,2,4.0,0.0,0.1,0.0,0.0,Mar,2,2,4,1,Returning_Visitor,False,0
0,0.0,1,85.0,2,35.5,0.0,0.066666667,0.0,0.4,May,1,2,8,1,Returning_Visitor,False,0
4,229.25,0,0.0,8,372.25,0.022222222,0.00952381,0.0,0.0,Dec,1,2,1,8,Returning_Visitor,False,0
1,2.0,6,657.8333333,140,3252.200476,0.005479452,0.024292237,0.0,0.0,Jul,2,2,4,1,Returning_Visitor,False,0
3,142.1333333,2,141.2,8,361.2333333,0.008333333,0.038888889,0.0,0.0,Oct,1,1,1,2,Returning_Visitor,True,0
4,33.0,0,0.0,19,502.4583333,0.0,0.011904762,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,0
8,1592.916667,2,146.6666667,14,1722.583333,0.0,0.031578947,0.0,0.0,Nov,4,1,3,8,New_Visitor,False,1
1,40.0,5,279.5,62,1088.830952,0.000980392,0.007230392,11.48461765,0.0,Mar,3,2,1,9,Returning_Visitor,True,1
1,85.0,0,0.0,14,306.5,0.0,0.004444444,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,False,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,3,2,7,1,Returning_Visitor,False,0
3,40.0,0,0.0,9,1362.0,0.0,0.008333333,0.0,0.0,Mar,2,2,7,6,Returning_Visitor,False,0
2,90.0,1,48.5,40,3789.583333,0.0,0.023170732,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,True,0
3,29.25,0,0.0,32,1729.75,0.0,0.005714286,16.7293697,0.0,Dec,2,4,3,2,New_Visitor,False,1
0,0.0,0,0.0,1,36.0,0.0,0.066666667,0.0,0.0,Mar,3,2,6,2,Returning_Visitor,True,0
15,674.3191167405516,25,-511.9913818931737,175,-4639.756417400471,-0.13598279107962047,-0.14242164432357052,-53.25176151384431,0.7979769227997329,May,9,14,10,21,Returning_Visitor,False,1
3,19.0,0,0.0,8,344.0,0.0,0.007407407,0.0,0.0,Feb,2,4,2,3,Returning_Visitor,False,0
12,-476.56883823094813,25,593.418366625972,-123,-6279.175042212064,0.21144521630950439,-0.14077220427074222,-63.37156744306696,0.8081584243268821,May,9,14,10,21,New_Visitor,True,0
