sample_id,test_type,result_value,unit,run_date,operator_id,site_code,status
MLN-2026-00029,endotoxin,590.876,pass/fail,2025-12-01 16:00:00,T.Smith,MIL,passed
MLN-2026-00030,sterility,913.2068,EU/mL,2025-01-13 02:00:00,A.Kumar,MIL,passed
MLN-2026-00031,endotoxin,797.8044,EU/mL,2025-01-13 12:00:00,J.Wong,MIL,pending
MLN-2026-00032,sterility,921.4585,pH,2025-01-13 22:00:00,A.Kumar,MIL,failed
MLN-2026-00033,potency,978.5062,mg/mL,2025-01-14 08:00:00,A.Kumar,MIL,passed
MLN-2026-00034,sterility,10.68,EU/mL,2025-01-14 18:00:00,R.Tanaka,MIL,failed
MLN-2026-00035,potency,622.745,mg/mL,2025-01-15 00:00:00,T.Smith,MIL,passed
MLN-2026-00036,potency,412.8453,pH,2025-01-15 14:00:00,T.Smith,MIL,failed
MLN-2026-00037,endotoxin,859.8559,mg/mL,2025-01-16 00:00:00,UNKNOWN,MIL,failed
MLN-2026-00038,endotoxin,251.8222,pH,2025-01-16 10:00:00,A.Kumar,MIL,failed
MLN-2026-00039,microbial_limit,981.0297,pH,2025-01-16 20:00:00,A.Kumar,MIL,pending
MLN-2026-00040,pH,,CFU/g,2025-01-17 06:00:00,J.Wong,MIL,failed
MLN-2026-00041,microbial_limit,,mg/mL,2025-01-17 16:00:00,T.Smith,MIL,passed
MLN-2026-00042,microbial_limit,85.6087,pass/fail,2025-01-18 02:00:00,J.Wong,MIL,pending
MLN-2026-00043,sterility,183.4661,CFU/g,2025-01-18 12:00:00,R.Tanaka,MIL,failed
MLN-2026-00044,potency,758.4061,pH,2025-01-18 22:00:00,UNKNOWN,MIL,failed
MLN-2026-00045,potency,21.9963,pass/fail,2025-01-19 08:00:00,J.Wong,MIL,passed
MLN-2026-00046,potency,816.8798,EU/mL,2025-01-19 18:00:00,T.Smith,MIL,passed
MLN-2026-00047,pH,,EU/mL,2025-01-20 04:00:00,R.Tanaka,MIL,passed
MLN-2026-00048,sterility,657.1223,CFU/g,2025-01-20 14:00:00,A.Kumar,MIL,failed
MLN-2026-00049,sterility,365.1003,pass/fail,2025-01-21 00:00:00,R.Tanaka,MIL,passed
MLN-2026-00050,potency,611.4987,mg/mL,2025-01-21 10:00:00,J.Wong,MIL,passed
MLN-2026-00051,microbial_limit,696.0344,pass/fail,2025-01-21 20:00:00,T.Smith,MIL,failed
MLN-2026-00052,pH,342.4818,CFU/g,2025-01-22 06:00:00,J.Wong,MIL,failed
MLN-2026-00053,microbial_limit,107.9714,mg/mL,2025-01-22 00:00:00,A.Kumar,MIL,failed
MLN-2026-00054,endotoxin,69.6552,,2025-01-23 02:00:00,A.Kumar,MIL,passed
MLN-2026-00055,sterility,588.9401,EU/mL,2025-01-23 12:00:00,T.Smith,MIL,failed
MLN-2026-00056,sterility,520.6601,pass/fail,2025-01-23 22:00:00,UNKNOWN,MIL,passed
MLN-2026-00057,microbial_limit,,mg/mL,2025-01-24 08:00:00,R.Tanaka,MIL,passed
MLN-2026-00058,pH,509.7404,CFU/g,2025-01-24 18:00:00,R.Tanaka,MIL,pending
MLN-2026-00059,sterility,422.4516,EU/mL,2025-01-25 04:00:00,A.Kumar,MIL,failed
MLN-2026-00060,microbial_limit,,mg/mL,2025-01-25 14:00:00,J.Wong,MIL,passed
MLN-2026-00061,pH,26.4566,pass/fail,2025-01-26 00:00:00,J.Wong,MIL,failed
MLN-2026-00062,microbial_limit,335.5638,EU/mL,2025-01-26 10:00:00,UNKNOWN,MIL,failed
MLN-2026-00063,pH,976.0204,pass/fail,2025-01-26 20:00:00,J.Wong,MIL,passed
MLN-2026-00064,potency,873.5568,pass/fail,2025-01-27 06:00:00,R.Tanaka,MIL,passed
MLN-2026-00065,pH,329.3848,pass/fail,2025-01-27 16:00:00,J.Wong,MIL,passed
MLN-2026-00066,endotoxin,587.7995,EU/mL,2025-01-28 02:00:00,UNKNOWN,MIL,failed
MLN-2026-00067,potency,847.2983,mg/mL,2025-01-28 00:00:00,R.Tanaka,MIL,passed
MLN-2026-00068,microbial_limit,441.2799,pH,2025-01-28 22:00:00,J.Wong,MIL,passed
MLN-2026-00069,potency,17.9677,mg/mL,2025-01-29 08:00:00,R.Tanaka,MIL,pending
MLN-2026-00070,potency,74.5197,EU/mL,2025-01-29 00:00:00,A.Kumar,MIL,passed
MLN-2026-00071,microbial_limit,510.3976,pH,2025-01-30 04:00:00,A.Kumar,MIL,failed
MLN-2026-00072,microbial_limit,,pH,2025-01-30 14:00:00,A.Kumar,MIL,
MLN-2026-00073,endotoxin,693.2126,pH,2025-01-31 00:00:00,J.Wong,MIL,passed
MLN-2026-00074,microbial_limit,70.9255,CFU/g,2025-01-31 10:00:00,UNKNOWN,MIL,failed
MLN-2026-00075,sterility,189.369,EU/mL,2025-01-31 20:00:00,R.Tanaka,MIL,failed
MLN-2026-00076,sterility,771.3254,CFU/g,2025-01-02 06:00:00,T.Smith,MIL,passed
MLN-2026-00077,endotoxin,841.4413,pH,2025-01-02 16:00:00,A.Kumar,MIL,failed
MLN-2026-00078,pH,617.6984,CFU/g,2025-02-02 02:00:00,A.Kumar,MIL,failed
MLN-2026-00079,pH,644.4267,CFU/g,2025-02-02 12:00:00,T.Smith,MIL,failed
MLN-2026-00080,sterility,28.3472,EU/mL,2025-02-02 22:00:00,T.Smith,MIL,failed
MLN-2026-00081,microbial_limit,828.532,pass/fail,2025-03-02 08:00:00,J.Wong,MIL,failed
MLN-2026-00082,endotoxin,788.2773,CFU/g,2025-03-02 18:00:00,R.Tanaka,MIL,passed
MLN-2026-00083,pH,259.0426,CFU/g,2025-04-02 04:00:00,A.Kumar,MIL,passed
MLN-2026-00084,pH,708.6796,pH,2025-04-02 14:00:00,UNKNOWN,MIL,passed
MLN-2026-00085,potency,214.8625,pH,2025-05-02 00:00:00,J.Wong,MIL,passed
MLN-2026-00086,sterility,40.3398,pH,2025-05-02 10:00:00,J.Wong,MIL,failed
MLN-2026-00087,microbial_limit,201.1445,mg/mL,2025-05-02 20:00:00,UNKNOWN,MIL,passed
MLN-2026-00088,endotoxin,178.6371,CFU/g,2025-06-02 06:00:00,UNKNOWN,MIL,failed
MLN-2026-00089,pH,337.7546,pH,2025-06-02 16:00:00,UNKNOWN,MIL,failed
MLN-2026-00090,potency,418.4553,EU/mL,2025-07-02 02:00:00,T.Smith,MIL,failed
MLN-2026-00091,sterility,508.5438,mg/mL,2025-07-02 12:00:00,A.Kumar,MIL,failed
MLN-2026-00092,sterility,476.7591,pass/fail,2025-07-02 22:00:00,T.Smith,MIL,pending
MLN-2026-00093,endotoxin,270.6819,CFU/g,2025-08-02 08:00:00,A.Kumar,MIL,passed
MLN-2026-00094,pH,,CFU/g,2025-08-02 18:00:00,T.Smith,MIL,failed
MLN-2026-00095,endotoxin,605.1056,EU/mL,2025-09-02 04:00:00,R.Tanaka,MIL,failed
MLN-2026-00096,endotoxin,395.7509,pass/fail,2025-09-02 14:00:00,A.Kumar,MIL,passed
MLN-2026-00097,potency,298.6792,pass/fail,2025-10-02 00:00:00,J.Wong,MIL,pending
MLN-2026-00098,sterility,866.9424,mg/mL,2025-10-02 10:00:00,A.Kumar,MIL,failed
MLN-2026-00099,microbial_limit,746.7458,CFU/g,2025-10-02 20:00:00,A.Kumar,MIL,passed
MLN-2026-00100,sterility,857.767,pH,2025-11-02 06:00:00,A.Kumar,MIL,failed
MLN-2026-00101,sterility,494.9878,EU/mL,2025-11-02 16:00:00,R.Tanaka,MIL,passed
MLN-2026-00102,potency,130.9399,EU/mL,2025-12-02 02:00:00,T.Smith,MIL,passed
MLN-2026-00103,microbial_limit,696.2245,EU/mL,2025-02-12 00:00:00,J.Wong,MIL,failed
MLN-2026-00104,pH,206.0817,EU/mL,2025-12-02 22:00:00,T.Smith,MIL,pending
MLN-2026-00105,microbial_limit,441.2353,pH,2025-02-13 08:00:00,T.Smith,MIL,passed
MLN-2026-00106,pH,65.0101,pH,2025-02-13 00:00:00,UNKNOWN,MIL,failed
MLN-2026-00107,microbial_limit,825.3101,mg/mL,2025-02-14 04:00:00,R.Tanaka,MIL,passed
MLN-2026-00108,endotoxin,125.9494,CFU/g,2025-02-14 14:00:00,UNKNOWN,MIL,
MLN-2026-00109,microbial_limit,903.0985,pH,2025-02-15 00:00:00,R.Tanaka,MIL,failed
MLN-2026-00110,potency,864.232,mg/mL,2025-02-15 10:00:00,T.Smith,MIL,pending
MLN-2026-00111,pH,464.5881,pass/fail,2025-02-15 20:00:00,T.Smith,MIL,failed
MLN-2026-00112,sterility,744.3708,CFU/g,2025-02-16 06:00:00,R.Tanaka,MIL,failed
MLN-2026-00113,potency,619.4489,pH,2025-02-16 16:00:00,T.Smith,MIL,passed
MLN-2026-00114,pH,803.0776,pass/fail,2025-02-17 02:00:00,T.Smith,MIL,failed
MLN-2026-00115,pH,431.8108,mg/mL,2025-02-17 12:00:00,J.Wong,MIL,passed
MLN-2026-00116,sterility,785.8106,pH,2025-02-17 22:00:00,UNKNOWN,MIL,failed
MLN-2026-00117,endotoxin,462.4622,pH,2025-02-18 08:00:00,UNKNOWN,MIL,pending
MLN-2026-00118,potency,940.9664,pass/fail,2025-02-18 18:00:00,UNKNOWN,MIL,passed
MLN-2026-00119,sterility,486.3772,pH,2025-02-19 04:00:00,A.Kumar,MIL,failed
MLN-2026-00120,sterility,462.6246,EU/mL,2025-02-19 14:00:00,J.Wong,MIL,passed
MLN-2026-00121,endotoxin,785.074,pH,2025-02-20 00:00:00,UNKNOWN,MIL,failed
MLN-2026-00122,potency,821.5795,CFU/g,2025-02-20 10:00:00,UNKNOWN,MIL,failed
MLN-2026-00123,sterility,,pass/fail,2025-02-20 20:00:00,J.Wong,MIL,failed
MLN-2026-00124,endotoxin,179.806,CFU/g,2025-02-21 06:00:00,T.Smith,MIL,passed
MLN-2026-00125,potency,467.7636,mg/mL,2025-02-21 16:00:00,UNKNOWN,MIL,failed
MLN-2026-00126,microbial_limit,968.0728,CFU/g,2025-02-22 02:00:00,T.Smith,MIL,passed
MLN-2026-00127,pH,752.9887,EU/mL,2025-02-22 12:00:00,UNKNOWN,MIL,passed
MLN-2026-00128,endotoxin,811.1645,EU/mL,2025-02-22 22:00:00,R.Tanaka,MIL,
MLN-2026-00129,pH,32.8352,CFU/g,2025-02-23 08:00:00,A.Kumar,MIL,failed
MLN-2026-00130,microbial_limit,467.8648,mg/mL,2025-02-23 18:00:00,UNKNOWN,MIL,passed
MLN-2026-00131,sterility,646.6247,pH,2025-02-24 04:00:00,R.Tanaka,MIL,passed
MLN-2026-00132,sterility,830.0344,EU/mL,2025-02-24 14:00:00,J.Wong,MIL,pending
MLN-2026-00133,potency,49.2832,,2025-02-25 00:00:00,R.Tanaka,MIL,passed
MLN-2026-00134,endotoxin,852.4404,CFU/g,2025-02-25 10:00:00,J.Wong,MIL,failed
MLN-2026-00135,endotoxin,548.4055,CFU/g,2025-02-25 20:00:00,UNKNOWN,MIL,failed
MLN-2026-00136,potency,197.322,pH,2025-02-26 06:00:00,J.Wong,MIL,passed
MLN-2026-00137,pH,317.262,pass/fail,2025-02-26 16:00:00,R.Tanaka,MIL,pending
MLN-2026-00138,sterility,281.9367,mg/mL,2025-02-27 02:00:00,A.Kumar,MIL,failed
MLN-2026-00139,sterility,530.8637,pass/fail,2025-02-27 12:00:00,T.Smith,MIL,passed
MLN-2026-00140,endotoxin,51.6952,mg/mL,2025-02-27 22:00:00,T.Smith,MIL,passed
MLN-2026-00141,endotoxin,158.5446,mg/mL,2025-02-28 00:00:00,A.Kumar,MIL,passed
MLN-2026-00142,potency,812.6949,,2025-02-28 18:00:00,T.Smith,MIL,passed
MLN-2026-00143,microbial_limit,132.6127,EU/mL,2025-01-03 04:00:00,UNKNOWN,MIL,pending
MLN-2026-00144,pH,233.4039,CFU/g,2025-01-03 14:00:00,UNKNOWN,MIL,passed
MLN-2026-00145,microbial_limit,453.3761,pH,2025-02-03 00:00:00,R.Tanaka,MIL,failed
MLN-2026-00146,microbial_limit,517.1257,mg/mL,2025-02-03 10:00:00,R.Tanaka,MIL,failed
MLN-2026-00147,endotoxin,763.6128,EU/mL,2025-02-03 20:00:00,J.Wong,MIL,passed
MLN-2026-00148,endotoxin,447.338,mg/mL,2025-03-03 06:00:00,R.Tanaka,MIL,passed
MLN-2026-00149,endotoxin,789.8667,mg/mL,2025-03-03 16:00:00,UNKNOWN,MIL,passed
MLN-2026-00150,microbial_limit,618.3501,CFU/g,2025-04-03 02:00:00,R.Tanaka,MIL,pending
MLN-2026-00151,pH,113.1086,EU/mL,2025-04-03 12:00:00,T.Smith,MIL,failed
MLN-2026-00152,endotoxin,156.3399,EU/mL,2025-04-03 22:00:00,J.Wong,MIL,failed
MLN-2026-00153,sterility,437.0394,mg/mL,2025-05-03 08:00:00,J.Wong,MIL,failed
MLN-2026-00154,pH,396.8954,EU/mL,2025-05-03 18:00:00,UNKNOWN,MIL,passed
MLN-2026-00155,sterility,743.5468,EU/mL,2025-03-06 00:00:00,R.Tanaka,MIL,passed
MLN-2026-00156,pH,580.7413,CFU/g,2025-06-03 14:00:00,T.Smith,MIL,failed
MLN-2026-00157,endotoxin,388.1392,pass/fail,2025-07-03 00:00:00,R.Tanaka,MIL,passed
MLN-2026-00158,potency,170.7686,pH,2025-07-03 10:00:00,A.Kumar,MIL,failed
MLN-2026-00159,endotoxin,226.8448,pass/fail,2025-07-03 20:00:00,R.Tanaka,MIL,pending
MLN-2026-00160,microbial_limit,575.5053,EU/mL,2025-08-03 06:00:00,UNKNOWN,MIL,pending
MLN-2026-00161,microbial_limit,,mg/mL,2025-08-03 16:00:00,R.Tanaka,MIL,passed
MLN-2026-00162,pH,514.9324,pH,2025-09-03 02:00:00,J.Wong,MIL,failed
MLN-2026-00163,microbial_limit,170.6857,pH,2025-09-03 12:00:00,T.Smith,MIL,passed
MLN-2026-00164,endotoxin,,mg/mL,2025-09-03 22:00:00,UNKNOWN,MIL,passed
MLN-2026-00165,sterility,852.5402,pH,2025-10-03 08:00:00,A.Kumar,MIL,passed
MLN-2026-00166,endotoxin,257.9469,mg/mL,2025-10-03 18:00:00,T.Smith,MIL,passed
MLN-2026-00167,pH,491.5193,pH,2025-11-03 04:00:00,T.Smith,MIL,passed
MLN-2026-00168,microbial_limit,975.5276,pass/fail,2025-11-03 14:00:00,J.Wong,MIL,passed
MLN-2026-00169,sterility,333.2484,pH,2025-12-03 00:00:00,J.Wong,MIL,failed
MLN-2026-00170,potency,595.0504,CFU/g,2025-12-03 10:00:00,J.Wong,MIL,passed
MLN-2026-00171,sterility,90.2048,mg/mL,2025-12-03 20:00:00,UNKNOWN,MIL,failed
MLN-2026-00172,sterility,606.0189,pH,2025-03-13 06:00:00,R.Tanaka,MIL,passed
MLN-2026-00173,endotoxin,89.6409,mg/mL,2025-03-13 16:00:00,T.Smith,MIL,failed
MLN-2026-00174,potency,959.2358,CFU/g,2025-03-14 02:00:00,R.Tanaka,MIL,failed
MLN-2026-00175,pH,715.6655,pH,2025-03-14 12:00:00,R.Tanaka,MIL,passed
MLN-2026-00176,pH,788.1619,pH,2025-03-14 00:00:00,J.Wong,MIL,passed
MLN-2026-00177,sterility,704.1073,CFU/g,2025-03-15 08:00:00,R.Tanaka,MIL,failed
MLN-2026-00178,sterility,589.7331,CFU/g,2025-03-15 18:00:00,T.Smith,MIL,passed
MLN-2026-00179,microbial_limit,449.9183,CFU/g,2025-03-16 04:00:00,T.Smith,MIL,failed
MLN-2026-00180,potency,858.3748,mg/mL,2025-03-16 14:00:00,A.Kumar,MIL,passed
MLN-2026-00181,sterility,956.8361,CFU/g,2025-03-17 00:00:00,UNKNOWN,MIL,failed
MLN-2026-00182,microbial_limit,499.0412,mg/mL,2025-03-17 10:00:00,R.Tanaka,MIL,passed
MLN-2026-00183,potency,931.5357,pass/fail,2025-03-17 20:00:00,UNKNOWN,MIL,failed
MLN-2026-00184,pH,583.3371,pH,2025-03-18 06:00:00,UNKNOWN,MIL,passed
MLN-2026-00185,microbial_limit,538.3888,pH,2025-03-18 16:00:00,UNKNOWN,MIL,failed
MLN-2026-00186,potency,454.4882,EU/mL,2025-03-19 02:00:00,UNKNOWN,MIL,failed
MLN-2026-00187,microbial_limit,209.2957,pass/fail,2025-03-19 12:00:00,T.Smith,MIL,passed
MLN-2026-00188,sterility,3.7296,CFU/g,2025-03-19 22:00:00,R.Tanaka,MIL,
MLN-2026-00189,endotoxin,241.5138,CFU/g,2025-03-20 08:00:00,A.Kumar,MIL,pending
MLN-2026-00190,pH,509.7281,pass/fail,2025-03-20 18:00:00,UNKNOWN,MIL,failed
MLN-2026-00191,sterility,379.9662,CFU/g,2025-03-21 04:00:00,A.Kumar,MIL,passed
MLN-2026-00192,sterility,448.4907,,2025-03-21 14:00:00,T.Smith,MIL,failed
MLN-2026-00193,potency,980.6484,mg/mL,2025-03-22 00:00:00,T.Smith,MIL,passed
MLN-2026-00194,microbial_limit,350.2789,pH,2025-03-22 10:00:00,J.Wong,MIL,passed
MLN-2026-00195,pH,452.1884,pass/fail,2025-03-22 20:00:00,UNKNOWN,MIL,pending
MLN-2026-00196,sterility,133.5242,pH,2025-03-23 06:00:00,J.Wong,MIL,failed
MLN-2026-00197,potency,47.9673,mg/mL,2025-03-23 16:00:00,A.Kumar,MIL,failed
MLN-2026-00198,pH,775.4118,pass/fail,2025-03-24 02:00:00,R.Tanaka,MIL,failed
MLN-2026-00199,microbial_limit,570.6875,mg/mL,2025-03-24 12:00:00,J.Wong,MIL,failed
MLN-2026-00200,sterility,760.7072,CFU/g,2025-03-24 22:00:00,T.Smith,MIL,passed
MLN-2026-00201,sterility,149.8713,CFU/g,2025-03-25 08:00:00,UNKNOWN,MIL,passed
MLN-2026-00202,sterility,571.8331,CFU/g,2025-03-25 18:00:00,A.Kumar,MIL,pending
MLN-2026-00203,pH,253.6499,mg/mL,2025-03-26 04:00:00,T.Smith,MIL,failed
MLN-2026-00204,pH,228.0695,mg/mL,2025-03-26 14:00:00,R.Tanaka,MIL,failed
MLN-2026-00205,pH,11.5359,mg/mL,2025-03-27 00:00:00,UNKNOWN,MIL,passed
MLN-2026-00206,pH,130.3494,pH,2025-03-27 10:00:00,R.Tanaka,MIL,pending
MLN-2026-00207,potency,309.275,mg/mL,2025-03-27 20:00:00,R.Tanaka,MIL,failed
MLN-2026-00208,endotoxin,116.8876,CFU/g,2025-03-28 06:00:00,UNKNOWN,MIL,failed
MLN-2026-00209,potency,985.8586,EU/mL,2025-03-28 16:00:00,UNKNOWN,MIL,passed
MLN-2026-00210,sterility,308.6396,mg/mL,2025-03-29 02:00:00,R.Tanaka,MIL,passed
MLN-2026-00211,potency,130.3326,EU/mL,2025-03-29 12:00:00,A.Kumar,MIL,failed
MLN-2026-00212,microbial_limit,199.0903,CFU/g,2025-03-29 22:00:00,UNKNOWN,MIL,failed
MLN-2026-00213,pH,587.7074,mg/mL,2025-03-30 08:00:00,T.Smith,MIL,failed
MLN-2026-00214,microbial_limit,64.0529,pH,2025-03-30 18:00:00,J.Wong,MIL,failed
MLN-2026-00215,microbial_limit,862.4355,pH,2025-03-31 04:00:00,A.Kumar,MIL,failed
MLN-2026-00216,sterility,961.5001,EU/mL,2025-03-31 14:00:00,UNKNOWN,MIL,failed
MLN-2026-00217,pH,246.755,pH,2025-01-04 00:00:00,UNKNOWN,MIL,failed
MLN-2026-00218,microbial_limit,,pH,2025-04-01 00:00:00,A.Kumar,MIL,pending
MLN-2026-00219,sterility,22.1442,pH,2025-01-04 20:00:00,J.Wong,MIL,failed
MLN-2026-00220,pH,640.7138,CFU/g,2025-02-04 06:00:00,R.Tanaka,MIL,pending
MLN-2026-00221,endotoxin,413.9319,pH,2025-02-04 16:00:00,T.Smith,MIL,pending
MLN-2026-00222,sterility,270.0658,pass/fail,2025-03-04 02:00:00,UNKNOWN,MIL,failed
MLN-2026-00223,potency,206.845,mg/mL,2025-03-04 12:00:00,J.Wong,MIL,passed
MLN-2026-00224,pH,654.0265,pH,2025-03-04 22:00:00,T.Smith,MIL,failed
MLN-2026-00225,microbial_limit,,pH,2025-04-04 08:00:00,A.Kumar,MIL,passed
MLN-2026-00226,microbial_limit,179.6675,pH,2025-04-04 18:00:00,UNKNOWN,MIL,failed
MLN-2026-00227,potency,689.1122,pass/fail,2025-05-04 04:00:00,R.Tanaka,MIL,pending
MLN-2026-00228,potency,565.0766,pH,2025-05-04 14:00:00,A.Kumar,MIL,failed
MLN-2026-00229,microbial_limit,858.6735,pH,2025-06-04 00:00:00,UNKNOWN,MIL,failed
MLN-2026-00230,pH,117.4847,mg/mL,2025-06-04 10:00:00,J.Wong,MIL,pending
MLN-2026-00231,sterility,785.6687,pass/fail,2025-06-04 20:00:00,T.Smith,MIL,passed
MLN-2026-00232,potency,673.5201,pass/fail,2025-07-04 06:00:00,T.Smith,MIL,passed
MLN-2026-00233,potency,115.0198,pH,2025-07-04 16:00:00,UNKNOWN,MIL,passed
MLN-2026-00234,potency,694.8238,pass/fail,2025-08-04 02:00:00,A.Kumar,MIL,passed
MLN-2026-00235,endotoxin,441.5529,EU/mL,2025-08-04 12:00:00,R.Tanaka,MIL,pending
MLN-2026-00236,pH,944.9853,pass/fail,2025-08-04 22:00:00,J.Wong,MIL,pending
MLN-2026-00237,pH,141.6199,pass/fail,2025-09-04 08:00:00,UNKNOWN,MIL,passed
MLN-2026-00238,pH,,pass/fail,2025-09-04 18:00:00,J.Wong,MIL,pending
MLN-2026-00239,pH,381.9862,CFU/g,2025-10-04 04:00:00,T.Smith,MIL,passed
MLN-2026-00240,pH,956.8151,CFU/g,2025-10-04 14:00:00,R.Tanaka,MIL,failed
MLN-2026-00241,microbial_limit,329.9816,CFU/g,2025-11-04 00:00:00,J.Wong,MIL,failed
MLN-2026-00242,potency,962.1863,pass/fail,2025-04-11 00:00:00,UNKNOWN,MIL,passed
MLN-2026-00243,microbial_limit,901.4868,EU/mL,2025-11-04 20:00:00,R.Tanaka,MIL,passed
MLN-2026-00244,endotoxin,270.3905,pass/fail,2025-12-04 06:00:00,A.Kumar,MIL,passed
MLN-2026-00245,sterility,803.5437,pH,2025-12-04 16:00:00,UNKNOWN,MIL,passed
MLN-2026-00246,potency,995.6042,EU/mL,2025-04-13 02:00:00,J.Wong,MIL,failed
MLN-2026-00247,endotoxin,252.6705,CFU/g,2025-04-13 12:00:00,R.Tanaka,MIL,passed
MLN-2026-00248,microbial_limit,436.7828,mg/mL,2025-04-13 00:00:00,UNKNOWN,MIL,failed
MLN-2026-00249,sterility,520.1855,EU/mL,2025-04-14 08:00:00,R.Tanaka,MIL,failed
MLN-2026-00250,endotoxin,294.9382,CFU/g,2025-04-14 18:00:00,R.Tanaka,MIL,passed
MLN-2026-00251,sterility,15.2747,EU/mL,2025-04-15 00:00:00,R.Tanaka,MIL,failed
MLN-2026-00252,endotoxin,220.137,EU/mL,2025-04-15 00:00:00,J.Wong,MIL,failed
MLN-2026-00253,microbial_limit,,pass/fail,2025-04-16 00:00:00,UNKNOWN,MIL,pending
MLN-2026-00254,sterility,443.6053,pH,2025-04-16 10:00:00,T.Smith,MIL,pending
MLN-2026-00255,endotoxin,171.1108,mg/mL,2025-04-16 20:00:00,T.Smith,MIL,pending
MLN-2026-00256,microbial_limit,873.2556,CFU/g,2025-04-17 06:00:00,J.Wong,MIL,passed
MLN-2026-00257,potency,704.9141,EU/mL,2025-04-17 00:00:00,J.Wong,MIL,passed
MLN-2026-00258,microbial_limit,85.2096,mg/mL,2025-04-18 02:00:00,R.Tanaka,MIL,pending
MLN-2026-00259,microbial_limit,650.096,EU/mL,2025-04-18 12:00:00,UNKNOWN,MIL,passed
MLN-2026-00260,potency,653.6599,pH,2025-04-18 22:00:00,UNKNOWN,MIL,passed
MLN-2026-00261,microbial_limit,956.2216,mg/mL,2025-04-19 08:00:00,A.Kumar,MIL,passed
MLN-2026-00262,potency,3.0308,CFU/g,2025-04-19 18:00:00,A.Kumar,MIL,pending
MLN-2026-00263,potency,247.94,EU/mL,2025-04-20 04:00:00,T.Smith,MIL,passed
MLN-2026-00264,potency,927.7922,pH,2025-04-20 14:00:00,A.Kumar,MIL,passed
MLN-2026-00265,endotoxin,932.1346,mg/mL,2025-04-21 00:00:00,A.Kumar,MIL,pending
MLN-2026-00266,sterility,720.5892,EU/mL,2025-04-21 10:00:00,T.Smith,MIL,failed
MLN-2026-00267,endotoxin,765.7657,EU/mL,2025-04-21 20:00:00,T.Smith,MIL,pending
MLN-2026-00268,potency,91.492,CFU/g,2025-04-22 06:00:00,A.Kumar,MIL,pending
MLN-2026-00269,sterility,513.8807,pH,2025-04-22 16:00:00,UNKNOWN,MIL,failed
MLN-2026-00270,sterility,231.5907,pass/fail,2025-04-23 02:00:00,A.Kumar,MIL,failed
